"video","category"
"https://youtu.be/X-73tTFW3Gs","intro"
"https://youtu.be/5B0Pbz3estM","dia"
"https://youtu.be/oFsZ7Wpvaxg","dia"
"https://youtu.be/Mwb_XREDo8A","spark"
"https://youtu.be/dLBGLfWtFsc","spark"
"https://youtu.be/NX0IpkVCJJ0","spark"
"https://youtu.be/sV6IxRmEQsc","spark"
"https://youtu.be/9jtGpRcJWOw","spark"
"https://youtu.be/2HRCM0c1eQM","spark"
"https://youtu.be/-7AhNHGQsKA","delta"
"https://youtu.be/qb2XSN3DTvw","delta"
"https://youtu.be/eLxLm1CA5dI","delta"
"https://youtu.be/pDP5yrtOl7U","delta"
"https://youtu.be/lgsRJ1U0Ifk","mlops"
"https://youtu.be/xpH5DtvC2dw","mlops"
"https://youtu.be/ZyyVghgnqj4","mlops"
"https://youtu.be/HCizNGVHzVQ","mlops"
"https://youtu.be/sniL0G3JR8g","build"
"https://youtu.be/mZITIUXlUvM","build"
"https://youtu.be/sEHArlBthfU","build"
"https://youtu.be/tksvP17tGsE","build"
"https://youtu.be/yhxEZ_4VBW8","build"
"https://youtu.be/_YxmjoCA4-g","spark"
"https://youtu.be/QsexwyzYx20","spark"
"https://youtu.be/fsZodZkvjqo","build"
